연도,분기,지역,60제곱미터 이하,60제곱미터 초과 85제곱미터 이하,85제곱미터 초과
2025,3분기  ,강원  ,484,453,499
2025,3분기  ,충북  ,430,444,448
2025,3분기  ,충남  ,0,413,467
2025,3분기  ,전북  ,0,419,305
2025,3분기  ,전남  ,250,0,0
2025,3분기  ,경북  ,0,329,397
2025,3분기  ,경남  ,430,461,482
2025,3분기  ,제주  ,0,580,0
2025,4분기  ,서울  ,2505,2354,2412
2025,4분기  ,경기  ,908,637,613
2025,4분기  ,인천  ,573,584,579
2025,4분기  ,부산  ,332,617,0
2025,4분기  ,대구  ,0,695,0
2025,4분기  ,광주  ,250,0,0
2025,4분기  ,대전  ,0,1187,1371
2025,4분기  ,울산  ,643,678,664
2025,4분기  ,세종  ,558,560,0
2025,4분기  ,강원  ,514,514,0
2025,4분기  ,충북  ,299,449,440
2025,4분기  ,충남  ,0,448,441
2025,4분기  ,전북  ,161,442,438
2025,4분기  ,전남  ,0,378,506
2025,4분기  ,경북  ,459,428,438
2025,4분기  ,경남  ,636,478,520
2025,4분기  ,제주  ,0,646,0
2026,1분기  ,서울  ,1340,1368,1542
2026,1분기  ,경기  ,1041,693,758
2026,1분기  ,인천  ,772,693,0
2026,1분기  ,부산  ,743,785,923
2026,1분기  ,대구  ,0,0,0
2026,1분기  ,광주  ,0,590,532
2026,1분기  ,대전  ,0,0,593
2026,1분기  ,울산  ,416,373,0
2026,1분기  ,세종  ,0,0,0
2026,1분기  ,강원  ,0,0,0
2026,1분기  ,충북  ,0,0,0
2026,1분기  ,충남  ,0,528,535
2026,1분기  ,전북  ,161,0,0
2026,1분기  ,전남  ,0,0,0
2026,1분기  ,경북  ,0,477,477
2026,1분기  ,경남  ,0,0,0
2026,1분기  ,제주  ,0,530,457
