공고명,공고시작일,공고종료일,공고등록일
평택고덕 주거전용 단독주택용지 재공급공고(Fd7),2020-10-12,2021-10-12,2020-10-12
"화성동탄(2) 주거전용 단독주택용지 수의계약공고(D28,D33)",2020-10-12,2021-10-12,2020-10-12
"화성동탄(2) 점포겸용 단독주택용지 재공급공고(D21,D30)",2020-10-12,2020-12-31,2020-10-12
"단독주택용지 공급공고 사전안내[화성동탄(2), 평택고덕]",2020-09-28,2021-09-28,2020-09-28
"다산신도시(진건, 지금) 근린생활시설용지 사전공급안내",2020-09-24,2022-02-02,2020-09-24
"화성동탄(2) 근린생활시설용지 재공급공고(근생71,72,74)",2020-09-14,2020-12-31,2020-09-14
동탄2  단독주택용지 전매절차 및 유의사항 안내,2020-09-09,2020-12-31,2020-09-09
"화성동탄(2) 근린생활시설용지 재공급공고(근생71,72,73,74)",2020-07-20,2021-07-20,2020-07-22
황해경제자유구역 평택포승(BIX)지구 공동주택용지(A-1) 수의계약 공급 안내,2020-06-10,2021-06-10,2020-06-10
황해경제자유구역 평택포승(BIX)지구 공동주택용지 공급공고 2차 접수 안내,2020-05-29,2021-05-29,2020-05-29
다산신도시 지금지구 2단계 준공구역 소유권이전등기 안내,2020-05-07,2026-12-31,2020-05-07
황해경제자유구역 평택포승(BIX)지구 공동주택용지 공급공고,2020-05-07,2020-06-10,2020-04-29
다산신도시 지금지구 2단계 준공관련 면적정산 등 사전안내,2020-03-18,2020-06-30,2020-03-18
경기도시공사 설계VE 검토위원 후보자 모집결과 안내,2019-12-26,2019-12-31,2019-12-26
"다산신도시 업무,근생용지 (2019.12.09일자 공고분) 개찰결과",2019-12-20,2020-01-31,2019-12-20
광교택지개발지구 주상복합용지(C6) 공급관련 유의사항 추가 안내,2019-12-16,2019-12-18,2019-12-16
광교택지개발지구 주상복합용지(C6) 공급공고,2019-12-05,2019-12-18,2019-12-05
"다산신도시 업무,근생용지 공급공고",2019-12-09,2019-12-31,2019-12-09
다산신도시 생활대책용지 재공급 공고,2019-12-03,2019-12-31,2019-12-03
경기융합타운내 주상복합용지(C6_융합10) 사전 공급일정 안내,2019-11-25,2019-11-29,2019-11-25
"다산신도시 업무,근생용지 사전공급 안내",2019-11-07,2019-12-31,2019-11-07
황해경제자유구역 평택 포승(BIX)지구 이주자택지 공급 공고,2019-11-07,2019-12-31,2019-11-07
"화성동탄(2) 점포겸용 단독주택용지 (재)공급공고(D20,D21)",2019-09-09,2019-10-31,2019-09-09
"화성동탄(2) 주거전용 단독주택용지 재공급공고(D28,D33,D34)",2019-09-09,2019-10-31,2019-09-09
