사업지구명,블록명,위치,공급유형,세대수,준공예정일
성남복정1,C1,경기도 성남시 수정구 복정동 복정동 창곡동 일원,행복주택,272,2027-10-31
성남복정2,A1,경기도 성남시 수정구 신흥동 신흥동 일원,공공분양,594,2030-02-28
성남복정2,A1,경기도 성남시 수정구 신흥동 신흥동 일원,행복주택,298,2030-02-28
시흥하중,A4,경기도 시흥시 하중동 일원,공공분양,390,2027-12-31
시흥하중,A4,경기도 시흥시 하중동 일원,행복주택,194,2027-12-31
시흥하중,A1,경기도 시흥시 하중동 일원,공공분양,400,2028-03-01
시흥하중,A1,경기도 시흥시 하중동 일원,행복주택,200,2028-03-01
시흥하중,A2,경기도 시흥시 하중동 일원,공공임대(6년),412,2027-12-31
시흥하중,A3,경기도 시흥시 하중동 일원 변경사업승인,통합공공임대,279,2028-06-30
남양주왕숙,A-01,경기도 남양주시 진건읍 진건읍 일원,공공분양,629,2028-03-31
남양주왕숙,A-02,경기도 남양주시 진건읍 진건읍 일원,공공분양,401,2028-03-31
남양주왕숙,A-02,경기도 남양주시 진건읍 진건읍 일원,행복주택,207,2028-03-31
남양주왕숙,B-01,경기도 남양주시 진건읍 진건읍 일원,공공분양,560,2028-03-30
남양주왕숙,A-24,경기도 남양주시 진건읍 진건읍 일원,공공분양,390,2028-12-29
남양주왕숙,A-24,경기도 남양주시 진건읍 진건읍 일원,행복주택,199,2028-12-29
남양주왕숙,B-17,경기도 남양주시 진건읍 진건읍 일원,공공분양,491,2028-10-31
남양주왕숙,A-06,경기도 남양주시 진건읍 진건읍 일원,통합공공임대,954,2028-06-05
남양주왕숙,A-20,경기도 남양주시 진건읍 진건읍 일원,공공분양,634,2026-12-31
남양주왕숙,A-20,경기도 남양주시 진건읍 진건읍 일원,행복주택,327,2026-12-31
남양주왕숙,B-02,경기도 남양주시 진건읍 진건읍 일원,공공분양,587,2028-06-30
남양주왕숙,A-03,경기도 남양주시 진건읍 진건읍 일원,통합공공임대,428,2028-01-31
남양주왕숙,A-22,경기도 남양주시 진건읍 진건읍 일원,통합공공임대,801,2028-12-31
남양주왕숙,S-18,경기도 남양주시 진건읍 진건읍 일원,통합공공임대,1067,2027-12-31
남양주왕숙,A-25,경기도 남양주시 진건읍 진건읍 일원,공공임대(6년),1298,2028-10-31
하남교산,A2,경기도 하남시 교산동 일원,공공분양,1115,2027-10-31
성남낙생,A1,경기도 성남시 분당구 동원동 일원,공공분양,933,2029-01-30
성남낙생,A1,경기도 성남시 분당구 동원동 일원,행복주택,467,2029-01-30
성남낙생,A2,경기도 성남시 분당구 동원동 일원,통합공공임대,1016,2026-04-30
부천역곡,A2,경기도 부천시 원미구 춘의동 역곡동 일원,공공분양,976,2027-12-31
부천역곡,A2,경기도 부천시 원미구 춘의동 역곡동 일원,행복주택,488,2027-12-31
강원삼척(마을정비형),00,강원특별자치도 삼척시 도계읍 283-2 일원,통합공공임대,120,2028-08-31
강원횡성(마을정비형),1,강원특별자치도 횡성군 우천면 55-1 일원,통합공공임대,60,2027-09-30
충남부여2(마을정비형),1,충청남도 부여군 부여읍 62 일원,국민임대,100,2026-12-31
충남부여2(마을정비형),1,충청남도 부여군 부여읍 62 일원,행복주택,50,2026-12-31
전북완주3(마을정비형),1,전북특별자치도 완주군 상관면 616 일원,국민임대,135,2027-12-31
대구방촌 LH참여형 가로주택정비사업,1,대구광역시 동구 방촌동 1002-8번지 일원,행복주택,38,2027-05-31
대구대명 LH참여형 가로주택정비사업,01,대구광역시 남구 대명동 1223번지 일원,통합공공임대,74,2027-03-30
시흥정왕(도시재생뉴딜),01,경기도 시흥시 정왕동 1799-2번지,행복주택,470,2026-05-31
부천대장,A7,경기도 부천시 오정구 대장동 684번지 일원,공공분양,473,2027-10-29
부천대장,A8,경기도 부천시 오정구 대장동 684번지 일원,공공분양,392,2027-10-29
부천대장,A5,경기도 부천시 오정구 대장동 684번지 일원,공공분양,638,2027-11-30
부천대장,A5,경기도 부천시 오정구 대장동 684번지 일원,행복주택,314,2027-11-30
부천대장,A6,경기도 부천시 오정구 대장동 684번지 일원,공공분양,461,2027-11-30
부천대장,A6,경기도 부천시 오정구 대장동 684번지 일원,행복주택,227,2027-11-30
의정부법조타운,S2,경기도 의정부시 고산동 489번지 일원,공공임대(6년),539,2028-12-29
의정부법조타운,S3,경기도 의정부시 고산동 489번지 일원,분양주택(이익공유형),544,2029-02-28
인천부평(도시재생뉴딜),A,인천광역시 부평구 부평동 65-17번지 일원,행복주택,350,2027-12-31
광명너부대,01,경기도 광명시 광명동 776-16번지,국민임대,70,2026-12-31
광명너부대,01,경기도 광명시 광명동 776-16번지,행복주택,170,2026-12-31
남양주왕숙2,A01,경기도 남양주시 일패동 466-10번지 일원,공공분양,803,2027-05-31
남양주왕숙2,A03,경기도 남양주시 일패동 466-10번지 일원,공공분양,686,2029-04-28
남양주왕숙2,A04,경기도 남양주시 일패동 466-10번지 일원,공공분양,525,2027-08-31
남양주왕숙2,A04,경기도 남양주시 일패동 466-10번지 일원,행복주택,262,2027-08-31
남양주왕숙2,A06,경기도 남양주시 일패동 466-10번지 일원,공공분양,468,2028-04-30
남양주왕숙2,A07,경기도 남양주시 일패동 466-10번지 일원,공공분양,552,2028-10-30
대구대명,A,대구광역시 남구 대명동 930번지,행복주택,90,2026-12-31
수방사군부지,1,서울특별시 동작구 노량진동 154-7번지 일원,공공분양,263,2028-12-31
수방사군부지,1,서울특별시 동작구 노량진동 154-7번지 일원,후분양,208,2028-12-31
수방사군부지,1,서울특별시 동작구 노량진동 154-7번지 일원,행복주택,85,2028-12-31
천안신부(행복),A1,충청남도 천안시 동남구 신부동,행복주택,587,2027-08-30
제주화북(행복주택),A22,제주특별자치도 제주시 화북일동 1400번지 일원,행복주택,272,2026-09-30
부산송정(행복주택),1,부산광역시 해운대구 송정동 송정동,행복주택,23,2026-12-31
송파방이,1BL,서울특별시 송파구 방이동 52번지 일원,행복주택,160,2028-02-29
서울동작(행복주택),01,서울특별시 동작구 동작동 326,행복주택,500,2027-06-30
서울노원(행복주택),01,서울특별시 노원구 공릉동 172-19,행복주택,138,2026-12-31
거창숙박시설정비사업,A1,경상남도 거창군 거창읍 1005-121005-81,통합공공임대,40,2027-03-19
포항흥해,1,경상북도 포항시 북구 흥해읍,국민임대,200,2026-05-29
창녕영산,1,경상남도 창녕군 영산면 영산면 일원,행복주택,150,2026-12-31
대전동구,A1,대전광역시 동구 정동 정동 3-4 일원,통합공공임대,420,2028-03-31
대전동구,A3,대전광역시 동구 정동 정동 3-4 일원,공공분양,350,2028-10-31
울산매곡(행복주택),01,울산광역시 북구 매곡동 884-5,행복주택,144,2028-06-30
수원화서 복합개발사업,1,경기도 수원시 팔달구 화서동 643번지,행복주택,450,2029-11-30
