연월,시도,특별공급 공급세대수,특별공급 접수건수,특별공급 경쟁률,일반공급 공급세대수,일반공급 접수건수,일반공급 경쟁률
2023-12,광주,189,13,(△176),191,55,(△136)
2023-12,대전,100,43,(△57),258,383,1.48
2023-12,울산,237,35,(△202),208,772,3.71
2023-12,경기,5067,3579,(△1488),4883,22072,4.52
2023-12,강원,100,41,(△59),128,1269,9.91
2023-12,충북,424,180,(△244),585,3170,5.42
2023-12,충남,1280,1881,1.47,1877,45962,24.49
2023-12,전북,0,0,0.00,1,16,16.00
2023-12,경북,320,74,(△246),503,1895,3.77
2023-12,경남,268,21,(△247),439,660,1.50
2023-12,제주,0,0,0.00,36,9,(△27)
2024-01,서울,115,10110,87.91,175,36889,210.79
2024-01,부산,277,37,(△240),261,199,(△62)
2024-01,인천,166,902,5.43,227,10675,47.03
2024-01,광주,598,81,(△517),1010,1944,1.92
2024-01,울산,107,4,(△103),85,58,(△27)
2024-01,경기,1116,423,(△693),983,1790,1.82
2024-01,강원,206,26,(△180),394,331,(△63)
2024-01,충남,360,199,(△161),299,1341,4.48
2024-01,전북,26,0,(△26),66,9,(△57)
2024-01,전남,434,16,(△418),463,268,(△195)
2024-01,경북,682,326,(△356),986,9166,9.30
2024-02,서울,99,3176,32.08,141,11833,83.92
2024-02,부산,322,143,(△179),106,673,6.35
2024-02,대구,114,1,(△113),126,19,(△107)
2024-02,인천,1503,454,(△1049),1957,6567,3.36
2024-02,광주,1436,270,(△1166),2047,5071,2.48
2024-02,대전,384,96,(△288),392,284,(△108)
2024-02,울산,473,9,(△464),419,191,(△228)
2024-02,경기,2915,2462,(△453),3270,12805,3.92
2024-02,강원,0,0,0.00,82,7,(△75)
2024-02,충북,775,553,(△222),900,4561,5.07
2024-02,충남,565,61,(△504),725,732,1.01
2024-02,전북,581,3681,6.34,644,35797,55.59
2024-02,경북,0,0,0.00,123,25,(△98)
2024-02,경남,117,4,(△113),115,139,1.21
2024-02,제주,0,0,0.00,653,776,1.19
2024-03,대구,72,103,1.43,71,1370,19.30
2024-03,대전,232,164,(△68),263,460,1.75
2024-03,충남,0,0,0.00,44,17929,407.48
2024-04,서울,55,130,2.36,59,195,3.31
2024-04,부산,911,219,(△692),1231,1723,1.40
2024-04,대구,166,9,(△157),171,489,2.86
2024-04,인천,985,241,(△744),848,1179,1.39
2024-04,광주,974,376,(△598),2582,8986,3.48
2024-04,대전,843,208,(△635),926,833,(△93)
2024-04,울산,574,653,1.14,499,5849,11.72
2024-04,경기,1505,2964,1.97,1306,10698,8.19
2024-04,강원,600,48,(△552),673,187,(△486)
2024-04,충남,1029,1310,1.27,1104,22404,20.29
2024-04,전북,422,70,(△352),737,981,1.33
2024-04,전남,888,920,1.04,429,3519,8.20
2024-04,경남,0,0,0.00,34,1,(△33)
2024-05,서울,225,6951,30.89,253,59280,234.31
2024-05,부산,750,473,(△277),1182,3892,3.29
2024-05,대구,468,47,(△421),670,477,(△193)
2024-05,대전,805,307,(△498),576,1208,2.10
2024-05,울산,101,10,(△91),97,36,(△61)
2024-05,경기,2686,1762,(△924),2892,11639,4.02
2024-05,강원,450,114,(△336),574,3071,5.35
2024-05,충남,375,15,(△360),448,158,(△290)
2024-05,전북,342,7643,22.35,490,67698,138.16
2024-05,경남,659,760,1.15,895,11678,13.05
2024-06,서울,257,12882,50.12,297,41583,140.01
2024-06,부산,554,156,(△398),1310,2608,1.99
2024-06,인천,189,165,(△24),203,1679,8.27
2024-06,광주,90,9,(△81),136,136,1.00
2024-06,대전,167,41,(△126),167,110,(△57)
2024-06,울산,172,3,(△169),124,5,(△119)
2024-06,경기,2824,76803,27.20,3952,296236,74.96
2024-06,강원,303,23,(△280),546,354,(△192)
2024-06,충북,1073,4303,4.01,670,28673,42.80
2024-06,충남,0,0,0.00,183,3,(△180)
2024-06,전남,366,479,1.31,686,8373,12.21
2024-07,서울,667,58813,88.18,803,139046,173.16
2024-07,인천,1081,2195,2.03,1592,6268,3.94
2024-07,대전,1198,2632,2.20,2049,30679,14.97
2024-07,경기,861,7745,9.00,661,36433,55.12
2024-07,강원,345,173,(△172),413,884,2.14
2024-07,전북,97,8,(△89),178,23,(△155)
2024-07,경북,264,34,(△230),367,891,2.43
2024-07,경남,0,0,0.00,38,5,(△33)
2024-08,서울,910,37013,40.67,968,79626,82.26
2024-08,부산,0,0,0.00,9,99,11.00
2024-08,인천,222,142,(△80),500,4203,8.41
2024-08,광주,39,10,(△29),70,87,1.24
2024-08,울산,416,113,(△303),387,909,2.35
2024-08,경기,2282,1195,(△1087),2743,6093,2.22
2024-08,충남,216,330,1.53,222,3795,17.09
2024-08,경남,345,14,(△331),399,75,(△324)
2024-08,제주,0,0,0.00,1260,5703,4.53
2024-09,서울,181,37766,208.65,243,96989,399.13
2024-09,부산,588,620,1.05,575,5294,9.21
2024-09,대구,552,1134,2.05,586,8116,13.85
2024-09,인천,761,2204,2.90,973,8137,8.36
2024-09,경기,3050,12141,3.98,3296,39966,12.13
2024-09,강원,499,377,(△122),522,6608,12.66
2024-09,충북,129,36,(△93),134,172,1.28
2024-10,서울,306,39700,129.74,336,83000,247.02
2024-10,부산,162,33,(△129),147,320,2.18
2024-10,인천,889,3231,3.63,1195,21248,17.78
2024-10,대전,549,465,(△84),657,2810,4.28
2024-10,울산,269,4,(△265),212,60,(△152)
2024-10,경기,4216,2678,(△1538),4087,12505,3.06
2024-10,강원,255,49,(△206),232,384,1.66
2024-10,충남,485,737,1.52,493,11400,23.12
2024-10,전북,44,1,(△43),91,430,4.73
2024-10,전남,8,1,(△7),62,83,1.34
2024-11,서울,1036,41865,40.41,1932,88175,45.64
2024-11,대구,364,6,(△358),626,52,(△574)
